|                                                                fullyQualifiedName                                                                |      pattern       |
| org.apache.hadoop.hdfs.TestClientProtocolForPipelineRecovery.testPipelineRecoveryOnRestartFailure                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSClientRetries$FailNTimesAnswer.makeBadBlockList                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSClientRetries.assertEmpty                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSFinalize.checkResult                                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSInotifyEventInputStream.testBasic                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSOpsCountStatistics.testOpTypeSymbolsAreUnique                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSOutputStream.testCongestionBackoff                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSRollback.checkResult                                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSShell.doFsStat                                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSShell.doSetXattr                                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSShell.getMaterializedReplicas                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSShell.runCmd                                                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSShell.textTest                                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSStripedOutputStreamWithFailureBase.getComb                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSStripedOutputStreamWithFailureBase.newLengths                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSStripedOutputStreamWithFailureBase.runTest                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSUpgradeFromImage.testUpgradeFromRel023ReservedImage                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSUpgradeFromImage.testUpgradeFromRel1ReservedImage                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSUpgradeFromImage.testUpgradeFromRel2ReservedImage                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestDFSUpgradeFromImage.unpackStorage                                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.TestDataTransferProtocol.testOpWrite                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.doDecomCheck                                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.nodeUsageVerification                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testAllocAndIBRWhileDecommission                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testCloseWhileDecommission                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testCountOnDecommissionedNodeList                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testDecommission                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testDecommission2                                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testDecommissionWithOpenFileAndBlockRecovery                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testDecommissionWithOpenfile                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testDecommissionWithOpenfileReporting                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testPendingNodeButDecommissioned                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testPendingNodes                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testRecommission                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.testUsedCapacity                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommission.verifyOpenFilesListing                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.decommissionNode                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.getDecommissionDatanode                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.prepareBlockIndexAndTokenList                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.testDecommission2NodeWithBusyNode                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.testDecommissionWithBusyNode                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.testDecommissionWithFailedReplicating                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.testDecommissionWithMissingBlock                                                              | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.testDecommissionWithURBlockForSameBlockGroup                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.testFileChecksumAfterDecommission                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestDecommissionWithStriped.testRecoveryWithDecommission                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestDistributedFileSystem.testBuilderSetters                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.TestDistributedFileSystem.testDFSClose                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestDistributedFileSystem.testListFiles                                                                                   | unbound-collection |
