|                                                           fullyQualifiedName                                                            |      pattern       |
| org.apache.cassandra.cql3.CqlBuilder.appendWithSingleQuotes                                                                             | unbound-collection |
| org.apache.cassandra.cql3.CqlBuilder.indentIfNeeded                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.CqlBuilder.newLine                                                                                            | unbound-collection |
| org.apache.cassandra.cql3.CqlLexer.addErrorListener                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.CqlLexer.emit                                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.Cql_Lexer.addErrorListener                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.Cql_Lexer.emit                                                                                                | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.addErrorListener                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.addRawUpdate                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.alterTableStatement                                                                                | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.alterTypeStatement                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.batchStatement                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.columnCondition                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.createAggregateStatement                                                                           | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.createFunctionStatement                                                                            | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.customIndexExpression                                                                              | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.dcPermission                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.deleteSelection                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.dropAggregateStatement                                                                             | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.dropFunctionStatement                                                                              | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.fullMapLiteral                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.functionArgs                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.functionResource                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.groupByClause                                                                                      | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.indexIdent                                                                                         | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.listLiteral                                                                                        | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.mapLiteral                                                                                         | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.newBindVariables                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.newINBindVariables                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.newJsonBindVariables                                                                               | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.newTupleBindVariables                                                                              | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.newTupleINBindVariables                                                                            | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.normalInsertStatement                                                                              | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.permissionOrAll                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.relation                                                                                           | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.selectionFunctionArgs                                                                              | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.selectionList                                                                                      | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.selectionMap                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.selectionSet                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.selectionTupleOrNestedSelector                                                                     | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.selectors                                                                                          | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.setLiteral                                                                                         | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.singleColumnInValues                                                                               | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.tablePartitionKey                                                                                  | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.tupleLiteral                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.tupleOfIdentifiers                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.tupleOfMarkersForTuples                                                                            | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.tupleOfTupleLiterals                                                                               | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.tuple_type                                                                                         | unbound-collection |
| org.apache.cassandra.cql3.Cql_Parser.viewPartitionKey                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.CustomNowInSecondsTest.testBatchMessage                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Duration.add                                                                                                  | unbound-collection |
| org.apache.cassandra.cql3.Duration.addTo                                                                                                | unbound-collection |
| org.apache.cassandra.cql3.Duration.append                                                                                               | unbound-collection |
| org.apache.cassandra.cql3.Duration.floorTimestamp                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Duration.parseStandardFormat                                                                                  | unbound-collection |
| org.apache.cassandra.cql3.Duration.substractFrom                                                                                        | unbound-collection |
| org.apache.cassandra.cql3.Duration.toString                                                                                             | unbound-collection |
| org.apache.cassandra.cql3.ErrorCollector.appendSnippet                                                                                  | unbound-collection |
| org.apache.cassandra.cql3.ErrorCollector.insertChar                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.ErrorCollector.syntaxError                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.GcCompactionBench.genExtra                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.GcCompactionBench.testGcCompaction                                                                            | unbound-collection |
| org.apache.cassandra.cql3.Json$Marker.prepareAndCollectMarkers                                                                          | unbound-collection |
| org.apache.cassandra.cql3.KeyCacheCqlTest.makeList                                                                                      | unbound-collection |
| org.apache.cassandra.cql3.Lists$DelayedValue.bind                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Lists$Literal.prepare                                                                                         | unbound-collection |
| org.apache.cassandra.cql3.Lists$Value.fromSerialized                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.ListsTest.testPrepender_HugeList                                                                              | unbound-collection |
| org.apache.cassandra.cql3.ListsTest.testPrepender_SmallList                                                                             | unbound-collection |
| org.apache.cassandra.cql3.ManyRowsTest.testLargeClustering                                                                              | unbound-collection |
| org.apache.cassandra.cql3.Maps$Value.get                                                                                                | unbound-collection |
| org.apache.cassandra.cql3.MultiColumnRelation.receivers                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.MultiColumnRelation.toCQLString                                                                               | unbound-collection |
| org.apache.cassandra.cql3.Operations.add                                                                                                | unbound-collection |
| org.apache.cassandra.cql3.PstmtPersistenceTest.testCachedPreparedStatements                                                             | unbound-collection |
| org.apache.cassandra.cql3.QueryEvents.registerListener                                                                                  | unbound-collection |
| org.apache.cassandra.cql3.QueryEventsTest.batchTest                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.QueryOptions$Codec$Flag.deserialize                                                                           | unbound-collection |
| org.apache.cassandra.cql3.QueryOptions$Codec.gatherFlags                                                                                | unbound-collection |
| org.apache.cassandra.cql3.QueryOptions$OptionsWithNames.prepare                                                                         | unbound-collection |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptionsWithNowInSec                                                                | unbound-collection |
| org.apache.cassandra.cql3.Relation.toTerms                                                                                              | unbound-collection |
| org.apache.cassandra.cql3.ReservedKeywords.getFromResource                                                                              | unbound-collection |
| org.apache.cassandra.cql3.ResultSet$Flag.deserialize                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.ResultSet$PreparedMetadata$Codec.decode                                                                       | unbound-collection |
| org.apache.cassandra.cql3.ResultSet$PreparedMetadata.toString                                                                           | unbound-collection |
| org.apache.cassandra.cql3.ResultSet$ResultMetadata$Codec.decode                                                                         | unbound-collection |
| org.apache.cassandra.cql3.ResultSet$ResultMetadata.setHasMorePages                                                                      | unbound-collection |
| org.apache.cassandra.cql3.ResultSet$ResultMetadata.setMetadataChanged                                                                   | unbound-collection |
| org.apache.cassandra.cql3.ResultSet$ResultMetadata.setSkipMetadata                                                                      | unbound-collection |
| org.apache.cassandra.cql3.ResultSet$ResultMetadata.toString                                                                             | unbound-collection |
| org.apache.cassandra.cql3.ResultSet.addColumnValue                                                                                      | unbound-collection |
| org.apache.cassandra.cql3.ResultSet.addRow                                                                                              | unbound-collection |
| org.apache.cassandra.cql3.ResultSet.toString                                                                                            | unbound-collection |
| org.apache.cassandra.cql3.SerializationMirrorTest.testManyClusterings                                                                   | unbound-collection |
| org.apache.cassandra.cql3.Sets$DelayedValue.bind                                                                                        | unbound-collection |
| org.apache.cassandra.cql3.Sets$Literal.prepare                                                                                          | unbound-collection |
| org.apache.cassandra.cql3.Sets$Value.fromSerialized                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.SingleColumnRelation.toReceivers                                                                              | unbound-collection |
| org.apache.cassandra.cql3.TokenRelation.getColumnDefinitions                                                                            | unbound-collection |
| org.apache.cassandra.cql3.Tuples$INRaw.makeInReceiver                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.Tuples$InValue.fromSerialized                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.Tuples$Literal.getExactTypeIfKnown                                                                            | unbound-collection |
| org.apache.cassandra.cql3.Tuples$Literal.prepare                                                                                        | unbound-collection |
| org.apache.cassandra.cql3.Tuples$Raw.makeReceiver                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.Tuples.getExactTupleTypeIfKnown                                                                               | unbound-collection |
| org.apache.cassandra.cql3.UserTypes$Literal.prepare                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.ViewComplexTest.testMVWithDifferentColumns                                                                    | unbound-collection |
| org.apache.cassandra.cql3.ViewLongTest.testConflictResolution                                                                           | unbound-collection |
| org.apache.cassandra.cql3.WhereClause$Builder.add                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.conditions.ColumnCondition$Raw.prepareTerms                                                                   | unbound-collection |
| org.apache.cassandra.cql3.conditions.ColumnCondition.filterUnsetValuesIfNeeded                                                          | unbound-collection |
| org.apache.cassandra.cql3.conditions.ColumnConditions$Builder.add                                                                       | unbound-collection |
| org.apache.cassandra.cql3.functions.AbstractFunction.addFunctionsTo                                                                     | unbound-collection |
| org.apache.cassandra.cql3.functions.AbstractFunction.columnName                                                                         | unbound-collection |
| org.apache.cassandra.cql3.functions.AbstractFunction.elementName                                                                        | unbound-collection |
| org.apache.cassandra.cql3.functions.AbstractFunction.toString                                                                           | unbound-collection |
| org.apache.cassandra.cql3.functions.AggregateFcts$AvgAggregate.addInput                                                                 | unbound-collection |
| org.apache.cassandra.cql3.functions.AggregateFcts$FloatAvgAggregate.addInput                                                            | unbound-collection |
| org.apache.cassandra.cql3.functions.AggregateFcts.all                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.functions.BytesConversionFcts.all                                                                             | unbound-collection |
| org.apache.cassandra.cql3.functions.CastFcts.addFunctionIfNeeded                                                                        | unbound-collection |
| org.apache.cassandra.cql3.functions.CastFcts.all                                                                                        | unbound-collection |
| org.apache.cassandra.cql3.functions.FunctionCall$Raw.prepare                                                                            | unbound-collection |
| org.apache.cassandra.cql3.functions.FunctionCall.bindAndGet                                                                             | unbound-collection |
| org.apache.cassandra.cql3.functions.FunctionName.appendCqlTo                                                                            | unbound-collection |
| org.apache.cassandra.cql3.functions.FunctionResolver.collectCandidates                                                                  | unbound-collection |
| org.apache.cassandra.cql3.functions.FunctionResolver.pickBestMatch                                                                      | unbound-collection |
| org.apache.cassandra.cql3.functions.JavaBasedUDFunction$EcjCompilationUnit.findType                                                     | unbound-collection |
| org.apache.cassandra.cql3.functions.JavaBasedUDFunction$EcjCompilationUnit.isPackage                                                    | unbound-collection |
| org.apache.cassandra.cql3.functions.JavaBasedUDFunction.generateArgumentList                                                            | unbound-collection |
| org.apache.cassandra.cql3.functions.JavaBasedUDFunction.generateArguments                                                               | unbound-collection |
| org.apache.cassandra.cql3.functions.JavaBasedUDFunction.generateClassName                                                               | unbound-collection |
| org.apache.cassandra.cql3.functions.OperationFcts.addStringConcatenations                                                               | unbound-collection |
| org.apache.cassandra.cql3.functions.OperationFcts.all                                                                                   | unbound-collection |
