|                                                                                  fullyQualifiedName                                                                                   |      pattern       |
| org.apache.ignite.compatibility.testframework.junits.IgniteCompatibilityAbstractTest.getProcessProxyJvmArgs                                                                           | unbound-collection |
| org.apache.ignite.compatibility.testframework.util.MavenUtils.downloadArtifact                                                                                                        | unbound-collection |
| org.apache.ignite.configuration.BinaryConfiguration.setClassNames                                                                                                                     | unbound-collection |
| org.apache.ignite.configuration.CacheConfiguration.setIndexedTypes                                                                                                                    | unbound-collection |
| org.apache.ignite.configuration.CacheConfiguration.setQueryEntities                                                                                                                   | unbound-collection |
| org.apache.ignite.configuration.DefaultCommunicationFailureResolver.clusterNodeIds                                                                                                    | unbound-collection |
| org.apache.ignite.configuration.DefaultCommunicationFailureResolver.findConnectedClients                                                                                              | unbound-collection |
| org.apache.ignite.configuration.IgniteReflectionFactory.setWithMethod                                                                                                                 | unbound-collection |
| org.apache.ignite.configuration.TransactionConfiguration.transientSerializableFields                                                                                                  | unbound-collection |
| org.apache.ignite.development.utils.IgniteWalConverter.toString                                                                                                                       | unbound-collection |
| org.apache.ignite.development.utils.IgniteWalConverterArguments.parse                                                                                                                 | unbound-collection |
| org.apache.ignite.development.utils.IgniteWalConverterArguments.parsePageIds                                                                                                          | unbound-collection |
| org.apache.ignite.development.utils.IgniteWalConverterSensitiveDataTest.beforeTestsStarted                                                                                            | unbound-collection |
| org.apache.ignite.development.utils.IgniteWalConverterSensitiveDataTest.exeWithCheck                                                                                                  | unbound-collection |
| org.apache.ignite.development.utils.IgniteWalConverterSensitiveDataTest.withSensitiveData                                                                                             | unbound-collection |
| org.apache.ignite.development.utils.IgniteWalConverterTest.createWal                                                                                                                  | unbound-collection |
| org.apache.ignite.development.utils.TxWalStat$TxOccurrence.onDataEntry                                                                                                                | unbound-collection |
| org.apache.ignite.development.utils.TxWalStat.printSizeCountMap                                                                                                                       | unbound-collection |
| org.apache.ignite.development.utils.TxWalStat.toString                                                                                                                                | unbound-collection |
| org.apache.ignite.development.utils.WalStat.printSizeCountMap                                                                                                                         | unbound-collection |
| org.apache.ignite.development.utils.WalStat.registerTxRecord                                                                                                                          | unbound-collection |
| org.apache.ignite.development.utils.WalStat.toString                                                                                                                                  | unbound-collection |
| org.apache.ignite.dump.DumpReader.run                                                                                                                                                 | unbound-collection |
| org.apache.ignite.examples.binary.computegrid.ComputeClientBinaryTaskExecutionExample.employees                                                                                       | unbound-collection |
| org.apache.ignite.examples.binary.computegrid.ComputeClientTask.split                                                                                                                 | unbound-collection |
| org.apache.ignite.examples.binary.datagrid.CacheClientBinaryPutGetExample.putGetAllBinary                                                                                             | unbound-collection |
| org.apache.ignite.examples.computegrid.ComputeAsyncExample.main                                                                                                                       | unbound-collection |
| org.apache.ignite.examples.computegrid.ComputeCallableExample.main                                                                                                                    | unbound-collection |
| org.apache.ignite.examples.computegrid.ComputeFibonacciContinuationExample$ContinuationFibonacciClosure.apply                                                                         | unbound-collection |
| org.apache.ignite.examples.computegrid.ComputeTaskSplitExample$SplitExampleCharacterCountTask.split                                                                                   | unbound-collection |
| org.apache.ignite.examples.computegrid.montecarlo.Credit.toString                                                                                                                     | unbound-collection |
| org.apache.ignite.examples.computegrid.montecarlo.CreditRiskExample.jobs                                                                                                              | unbound-collection |
| org.apache.ignite.examples.datagrid.CacheAffinityExample.visitUsingMapKeysToNodes                                                                                                     | unbound-collection |
| org.apache.ignite.examples.datagrid.CacheAsyncApiExample.main                                                                                                                         | unbound-collection |
| org.apache.ignite.examples.datagrid.CacheEntryProcessorExample.<clinit>                                                                                                               | unbound-collection |
| org.apache.ignite.examples.datastructures.IgniteSetExample$SetClosure.run                                                                                                             | unbound-collection |
| org.apache.ignite.examples.datastructures.IgniteSetExample.initializeSet                                                                                                              | unbound-collection |
| org.apache.ignite.examples.datastructures.IgniteSetExample.writeToSet                                                                                                                 | unbound-collection |
| org.apache.ignite.examples.misc.client.memcache.MemcacheRestExample.main                                                                                                              | unbound-collection |
| org.apache.ignite.examples.misc.deployment.DeploymentExample$ExampleTask.split                                                                                                        | unbound-collection |
